mjd,mag,magerr
1,20.005014119122357,0.05
29,19.85040080207593,0.05
30,19.847052572274997,0.05
31,19.841787849126227,0.05
32,19.834635513831294,0.05
33,19.8274983220117,0.05
34,19.821036501715206,0.05
35,19.816254964600652,0.05
36,19.81320934140694,0.05
37,19.811933190775257,0.05
38,19.81152724159505,0.05
56,19.762459260406764,0.05
57,19.755122116528405,0.05
58,19.747859084758225,0.05
59,19.742649321505347,0.05
60,19.73859306266356,0.05
61,19.734864397171854,0.05
62,19.732402119427455,0.05
63,19.73070034951585,0.05
64,19.729635701343064,0.05
65,19.729312740968446,0.05
66,19.73109510319353,0.05
79,19.785998451055512,0.05
80,19.78990257556091,0.05
81,19.793441669833832,0.05
82,19.796817545800245,0.05
83,19.799304160127072,0.05
84,19.799691205830136,0.05
85,19.79944465519788,0.05
86,19.799519127449777,0.05
87,19.8008270282187,0.05
112,19.834294900459575,0.05
113,19.836103735312598,0.05
114,19.835563800324543,0.05
115,19.833524343802843,0.05
116,19.831627139416263,0.05
117,19.829064565890043,0.05
118,19.826204691533512,0.05
119,19.823148464289524,0.05
120,19.818864934450936,0.05
121,19.813361447548736,0.05
122,19.809713645725502,0.05
123,19.806954443826193,0.05
124,19.803321805316408,0.05
125,19.79939728109401,0.05
141,19.75596421791584,0.05
142,19.754566222405636,0.05
143,19.75457658235269,0.05
144,19.75517178296392,0.05
145,19.7547008341815,0.05
146,19.75380616382055,0.05
147,19.7527302721763,0.05
148,19.751251859646878,0.05
149,19.74964836485217,0.05
150,19.749179666647485,0.05
151,19.749639378741442,0.05
152,19.750044648544225,0.05
153,19.750265206716385,0.05
154,19.750386873678245,0.05
155,19.750032176910373,0.05
255,19.762868044034015,0.05
256,19.75821599758259,0.05
257,19.752862746355,0.05
258,19.74842362462551,0.05
259,19.746119038925166,0.05
260,19.743946417402533,0.05
261,19.742119907439466,0.05
262,19.741931569492003,0.05
263,19.742964337666827,0.05
264,19.744225100070985,0.05
265,19.744662995195746,0.05
273,19.731873194553366,0.05
274,19.73413088248025,0.05
275,19.737465234057105,0.05
276,19.742453304552292,0.05
277,19.748027826847654,0.05
278,19.75170631305145,0.05
279,19.753962457653692,0.05
280,19.755588967425133,0.05
281,19.756539662465308,0.05
282,19.756157728704913,0.05
283,19.754191794372097,0.05
284,19.751436735139855,0.05
285,19.748556108731798,0.05
286,19.74560170388306,0.05
303,19.729095439627947,0.05
304,19.72520836330812,0.05
305,19.722075106169804,0.05
306,19.719930093439906,0.05
307,19.7184414480518,0.05
308,19.71813459755932,0.05
309,19.718266576069986,0.05
310,19.718756214516738,0.05
311,19.718397484990142,0.05
312,19.717561318559937,0.05
313,19.716246450528253,0.05
314,19.715625718244432,0.05
315,19.71505618078998,0.05
316,19.71484623390915,0.05
317,19.71521223240196,0.05
318,19.716781778389752,0.05
319,19.720858240639835,0.05
320,19.726867829694733,0.05
321,19.732273513778246,0.05
322,19.7369670901819,0.05
323,19.74099900733193,0.05
324,19.74586070220169,0.05
325,19.75076956129856,0.05
326,19.753834533335727,0.05
337,19.7779843487991,0.05
338,19.784213894249824,0.05
339,19.79003515129063,0.05
340,19.795852517524075,0.05
341,19.801555298445088,0.05
342,19.806605044299324,0.05
343,19.809995226927704,0.05
344,19.81254826986578,0.05
361,19.776091026562376,0.05
362,19.770921398877597,0.05
363,19.766755875549087,0.05
364,19.76183086977249,0.05
365,19.756483137727194,0.05
366,19.750943838069823,0.05
367,19.74420966837193,0.05
368,19.73807905221492,0.05
369,19.732449020274537,0.05
370,19.727622118195434,0.05
371,19.72264758925065,0.05
372,19.717864837484292,0.05
373,19.714812757380834,0.05
390,19.745547322733024,0.05
391,19.744641952751188,0.05
392,19.742979110548198,0.05
393,19.741504715827766,0.05
394,19.740490045507123,0.05
395,19.739787336749735,0.05
396,19.738119122225164,0.05
397,19.73816770541618,0.05
398,19.740054827767203,0.05
399,19.74254820346163,0.05
400,19.745734788733607,0.05
401,19.74853930064183,0.05
402,19.750766067466763,0.05
403,19.752838226971967,0.05
552,19.593574353994605,0.05
553,19.595446359690392,0.05
554,19.597115724460103,0.05
555,19.599166067458945,0.05
556,19.601153687679492,0.05
557,19.604722990045936,0.05
558,19.608796897535377,0.05
559,19.6127803275562,0.05
560,19.616223976684118,0.05
561,19.619773176741212,0.05
583,19.646455493308785,0.05
584,19.65360390569972,0.05
585,19.659539002546147,0.05
586,19.663764512539053,0.05
587,19.665266763816014,0.05
588,19.66532099671999,0.05
589,19.665081153362543,0.05
629,19.767355244861882,0.05
630,19.766205388385522,0.05
631,19.764609867396864,0.05
632,19.76381176564646,0.05
633,19.763774986274733,0.05
634,19.764160426901434,0.05
635,19.764732392231828,0.05
641,19.754853932419998,0.05
642,19.751116668980124,0.05
643,19.74726714261731,0.05
644,19.74340874622306,0.05
645,19.738616972217095,0.05
646,19.73231629785237,0.05
647,19.725502830210907,0.05
648,19.718502190133385,0.05
649,19.711328193610164,0.05
650,19.704944681688097,0.05
651,19.699891708224946,0.05
652,19.696000055799395,0.05
