mjd,mag,magerr
1,21.418148060882793,0.05
5,21.417631521245617,0.05
6,21.41749110522614,0.05
7,21.417341690030263,0.05
8,21.417162760697117,0.05
9,21.416947745267926,0.05
10,21.416702905661914,0.05
11,21.416458879249497,0.05
12,21.416227509462765,0.05
13,21.415985969360783,0.05
32,21.40757098988592,0.05
33,21.406984037029993,0.05
34,21.40636210090245,0.05
35,21.405730981216216,0.05
36,21.405105919558558,0.05
37,21.404480623902224,0.05
38,21.40383889127093,0.05
39,21.403198826027655,0.05
129,21.37823033254545,0.05
130,21.378808573091,0.05
131,21.37940720446891,0.05
132,21.380014550025685,0.05
133,21.380627513539785,0.05
134,21.381231672365338,0.05
135,21.381801053664823,0.05
136,21.382330363251604,0.05
137,21.382836988536205,0.05
138,21.383351796025913,0.05
139,21.383890155278912,0.05
140,21.384467957257165,0.05
141,21.38505465959117,0.05
162,21.39638944914534,0.05
163,21.397025456590733,0.05
164,21.39767764253134,0.05
165,21.398356328231266,0.05
166,21.399072962480695,0.05
167,21.399818503003637,0.05
168,21.400588692956198,0.05
169,21.401374227984867,0.05
170,21.402158675444547,0.05
171,21.402933668501937,0.05
172,21.403711586091212,0.05
182,21.41281602600079,0.05
183,21.41382785264289,0.05
184,21.414871558639,0.05
185,21.41592738106049,0.05
186,21.41697293621059,0.05
187,21.417994696417345,0.05
188,21.41903181740144,0.05
192,21.422992388002392,0.05
193,21.423933644127253,0.05
194,21.424830256944283,0.05
195,21.425685091584207,0.05
196,21.426512396131137,0.05
197,21.427330186019326,0.05
198,21.428104158080238,0.05
199,21.428816250540272,0.05
200,21.429488968954594,0.05
201,21.43015352206779,0.05
202,21.430807665011535,0.05
203,21.431447110706806,0.05
244,21.445516887835673,0.05
245,21.445878539073057,0.05
246,21.446272562105868,0.05
247,21.446655878331647,0.05
248,21.447014200702775,0.05
249,21.447350593923083,0.05
250,21.447670155469545,0.05
251,21.44798039719995,0.05
252,21.448299036267052,0.05
253,21.448636397578234,0.05
254,21.44895821841903,0.05
255,21.449261414403004,0.05
256,21.449543580272213,0.05
257,21.44980136196255,0.05
267,21.452106245293542,0.05
268,21.452270344846333,0.05
269,21.452383390492834,0.05
270,21.45245470024144,0.05
271,21.452470116413174,0.05
272,21.45245366971681,0.05
273,21.45243457074951,0.05
274,21.452398099561,0.05
275,21.452369922872215,0.05
276,21.452398745390376,0.05
277,21.45245968011789,0.05
278,21.452537586189358,0.05
279,21.452622928342016,0.05
280,21.452731988398106,0.05
313,21.462034705332847,0.05
314,21.462268239915495,0.05
315,21.46248815979417,0.05
316,21.462688791534866,0.05
317,21.462887263763996,0.05
318,21.463096639396092,0.05
319,21.463302417263897,0.05
320,21.463490323296547,0.05
349,21.46867649940581,0.05
350,21.468820036500425,0.05
351,21.468955633558686,0.05
352,21.46908309210908,0.05
353,21.469204319560397,0.05
354,21.469306061726293,0.05
355,21.46940159136404,0.05
356,21.469470812034324,0.05
357,21.46951363402777,0.05
358,21.46954697052208,0.05
374,21.471120348049617,0.05
375,21.47136628559266,0.05
376,21.47159176689899,0.05
377,21.47179459334138,0.05
378,21.47198488657478,0.05
379,21.47216391903391,0.05
380,21.47229758602102,0.05
381,21.4724183592754,0.05
382,21.47253072941016,0.05
383,21.47264412608269,0.05
384,21.472761509222273,0.05
385,21.472897733362338,0.05
395,21.47423326049313,0.05
396,21.474448140096932,0.05
397,21.474669530445233,0.05
398,21.47488192376597,0.05
399,21.475075364252454,0.05
400,21.475257357895906,0.05
401,21.475420505529662,0.05
402,21.47557078421753,0.05
403,21.475733449710326,0.05
421,21.479870069848637,0.05
422,21.48013996799073,0.05
423,21.480405631651713,0.05
424,21.48068588822668,0.05
425,21.48097450510469,0.05
426,21.481215848327487,0.05
427,21.48140476228607,0.05
428,21.481543621985374,0.05
429,21.48165599010118,0.05
490,21.477851598378173,0.05
491,21.47772432916505,0.05
492,21.477620940717735,0.05
493,21.477544413760647,0.05
494,21.4774963410133,0.05
495,21.477458504941744,0.05
496,21.477416454029715,0.05
497,21.47740108538067,0.05
498,21.477406742797278,0.05
569,21.48894518637534,0.05
570,21.489037875093977,0.05
571,21.489187287998995,0.05
572,21.48936264044483,0.05
573,21.48954116992123,0.05
574,21.489723507085195,0.05
575,21.489889584470397,0.05
576,21.49005899564647,0.05
577,21.490224263189468,0.05
578,21.490365824259406,0.05
590,21.49137513749725,0.05
591,21.49140340501976,0.05
592,21.491453904412076,0.05
593,21.491529351979146,0.05
594,21.491631260191276,0.05
595,21.491732982919736,0.05
596,21.49182139224751,0.05
597,21.49189802609866,0.05
598,21.492012679485192,0.05
644,21.500344892968037,0.05
645,21.500514339226363,0.05
646,21.500718741802437,0.05
647,21.50092838541655,0.05
648,21.501179901515933,0.05
649,21.50145989699397,0.05
650,21.501734721767257,0.05
651,21.502009050600726,0.05
652,21.502301154600936,0.05
653,21.502565731061303,0.05
654,21.50281038206507,0.05
655,21.503043998867902,0.05
656,21.503269140186184,0.05
657,21.50345978308777,0.05
730,21.51442727379014,0.05
