mjd,mag,magerr
1,19.442497573432384,0.05
46,19.080038415569142,0.05
47,19.073863804259737,0.05
48,19.06968985716643,0.05
49,19.068230425933372,0.05
50,19.068596667239184,0.05
51,19.06488718123827,0.05
52,19.057916245716747,0.05
53,19.048372043264486,0.05
54,19.039590848421263,0.05
55,19.032803979447245,0.05
56,19.02782186832537,0.05
68,18.870567274535127,0.05
69,18.870847781493616,0.05
70,18.872795958249206,0.05
71,18.87683517846265,0.05
72,18.883347938710692,0.05
73,18.8928243677989,0.05
74,18.905267026864884,0.05
75,18.918613927570554,0.05
76,18.929781193350998,0.05
77,18.939734925866624,0.05
78,18.950138104800295,0.05
79,18.959112771152114,0.05
80,18.963693079481878,0.05
81,18.963381389396325,0.05
82,18.959429627707586,0.05
83,18.954959705802928,0.05
84,18.948519252658407,0.05
85,18.938969433984163,0.05
86,18.927562023655092,0.05
87,18.912793435459086,0.05
88,18.89842137154246,0.05
143,19.12389127783586,0.05
144,19.129391075462685,0.05
145,19.13588982739997,0.05
146,19.141232159133956,0.05
147,19.147368082702563,0.05
148,19.151375686917,0.05
149,19.1521591502728,0.05
150,19.152450195253884,0.05
151,19.148896054865894,0.05
152,19.145389530768846,0.05
153,19.142185753346787,0.05
154,19.139612221561585,0.05
155,19.135882556305738,0.05
156,19.130198402647558,0.05
157,19.12414973986258,0.05
158,19.114302004862587,0.05
159,19.095678203737528,0.05
160,19.075948566365646,0.05
161,19.048160957867857,0.05
162,19.0129629243743,0.05
163,18.97987969166966,0.05
164,18.951246859226224,0.05
165,18.929309892753928,0.05
175,18.949609041396066,0.05
176,18.967923380156144,0.05
177,18.98828107388845,0.05
178,19.010282034911334,0.05
179,19.033125144517847,0.05
180,19.056358751535292,0.05
181,19.078908856324084,0.05
182,19.101599912925955,0.05
183,19.125848515802012,0.05
184,19.15302986346547,0.05
185,19.18415268205569,0.05
186,19.21686476214156,0.05
192,19.381779452452996,0.05
193,19.403413117170423,0.05
194,19.42272062774645,0.05
195,19.441581556655485,0.05
196,19.461591040794268,0.05
197,19.482216557094183,0.05
198,19.50179700211998,0.05
199,19.518239440875824,0.05
200,19.532140816378778,0.05
201,19.542192355285415,0.05
212,19.642140757484448,0.05
213,19.660121456448614,0.05
214,19.67818093703078,0.05
215,19.695923121963183,0.05
216,19.70968869809912,0.05
217,19.716908129237943,0.05
218,19.716562497991255,0.05
219,19.716308159979143,0.05
235,19.604684427680617,0.05
236,19.578221888305087,0.05
237,19.543630840507582,0.05
238,19.511048984383798,0.05
239,19.48162072757122,0.05
240,19.44717022467085,0.05
241,19.414966763024232,0.05
242,19.385395902377176,0.05
282,19.25160689242329,0.05
283,19.250992433682917,0.05
284,19.254058289308283,0.05
285,19.259326265740192,0.05
286,19.265214941525066,0.05
287,19.2686696696913,0.05
288,19.270257669238582,0.05
289,19.27131683248175,0.05
290,19.270404113079614,0.05
291,19.267742991684166,0.05
292,19.266403946846133,0.05
293,19.26499992315113,0.05
294,19.260902585487194,0.05
295,19.24731189829327,0.05
319,18.936182239444513,0.05
320,18.93559060617215,0.05
321,18.934326634535388,0.05
322,18.9286816505871,0.05
323,18.919718053834906,0.05
324,18.910169360918893,0.05
325,18.90177034140752,0.05
326,18.898247105943263,0.05
327,18.900224064363137,0.05
328,18.907711159943197,0.05
329,18.92219857231253,0.05
330,18.939829851331332,0.05
331,18.956370805002273,0.05
332,18.970521315975624,0.05
333,18.983841413802075,0.05
334,18.998386512956053,0.05
349,19.12740916007163,0.05
350,19.135525343191183,0.05
351,19.14309681197279,0.05
352,19.150626908967176,0.05
353,19.161354165406856,0.05
354,19.173405556518226,0.05
355,19.179583668011766,0.05
438,19.88613964486631,0.05
439,19.88808772399269,0.05
440,19.89235029500515,0.05
441,19.894470158964616,0.05
442,19.893840848794433,0.05
443,19.89310036680586,0.05
444,19.89285470671293,0.05
445,19.889992533137224,0.05
446,19.889459368233325,0.05
447,19.888911180972805,0.05
448,19.883278008906807,0.05
449,19.878680988782257,0.05
450,19.875393580116047,0.05
451,19.872702467285286,0.05
452,19.867724986503013,0.05
453,19.862170619125273,0.05
454,19.859550134648664,0.05
516,19.41397043285898,0.05
517,19.39851158209519,0.05
518,19.37952748563992,0.05
519,19.36223837996848,0.05
520,19.3527751351778,0.05
521,19.346912636087374,0.05
522,19.341038459060464,0.05
523,19.337341715713272,0.05
524,19.334588729162384,0.05
525,19.333198847365914,0.05
526,19.335061307897043,0.05
527,19.338764472924858,0.05
528,19.342353442747473,0.05
529,19.346435557700836,0.05
536,19.36113131755264,0.05
537,19.365047497879154,0.05
538,19.368528249385257,0.05
539,19.375484159595224,0.05
540,19.384854720204466,0.05
541,19.391806014280114,0.05
542,19.39568564105017,0.05
543,19.402038866190615,0.05
544,19.411101397460207,0.05
545,19.42275816512747,0.05
546,19.438781939553216,0.05
547,19.45766204446199,0.05
692,19.255107808784395,0.05
693,19.25274983046446,0.05
694,19.250323459714103,0.05
695,19.24867590675384,0.05
696,19.244306313724742,0.05
697,19.238032998900557,0.05
