mjd,mag,magerr
1,20.64941624664464,0.05
35,20.658681789549057,0.05
36,20.659398455548548,0.05
37,20.65998548653483,0.05
38,20.66059092078293,0.05
39,20.661102048107473,0.05
40,20.661429095654334,0.05
41,20.661879462577666,0.05
42,20.66237800029483,0.05
43,20.662795231847433,0.05
44,20.662970174836836,0.05
45,20.663406958291965,0.05
46,20.66389767709378,0.05
47,20.664253254530685,0.05
48,20.664371211601924,0.05
49,20.664721851521342,0.05
50,20.665200484847425,0.05
55,20.667644136619423,0.05
56,20.667834329990704,0.05
57,20.66796036796736,0.05
58,20.668309941103537,0.05
59,20.668790171759774,0.05
60,20.669119497992973,0.05
61,20.669381885259064,0.05
62,20.669764353865936,0.05
63,20.67019928811346,0.05
64,20.670797345841827,0.05
65,20.671563769707838,0.05
66,20.672346751836322,0.05
86,20.685349441835534,0.05
87,20.68545565463463,0.05
88,20.685730004496683,0.05
89,20.686236247997293,0.05
90,20.6867838751867,0.05
91,20.687163058231015,0.05
92,20.687441167137358,0.05
93,20.68770721536375,0.05
94,20.688152740135287,0.05
202,20.712275652199686,0.05
203,20.712485078241507,0.05
204,20.712738878396316,0.05
205,20.712999629098924,0.05
206,20.713065573101353,0.05
207,20.713137781921994,0.05
208,20.713152886803478,0.05
209,20.713002552355412,0.05
210,20.712914521037256,0.05
211,20.712972984389374,0.05
212,20.713133893235856,0.05
213,20.71328867653667,0.05
214,20.713571107492918,0.05
215,20.713818802969676,0.05
264,20.733199403057903,0.05
265,20.73333832951416,0.05
266,20.733656126631637,0.05
267,20.734189376770892,0.05
268,20.734697607864796,0.05
269,20.735281143360687,0.05
270,20.735805158154086,0.05
271,20.736118096820327,0.05
272,20.73650498587238,0.05
273,20.736906903988604,0.05
307,20.739538095044416,0.05
308,20.739686763769676,0.05
309,20.739564811264124,0.05
310,20.7392145005526,0.05
311,20.73895841429664,0.05
312,20.738794495464354,0.05
313,20.73824733264093,0.05
314,20.737508657541845,0.05
315,20.736808627640663,0.05
346,20.725391427905272,0.05
347,20.724234334552825,0.05
348,20.72274580666562,0.05
349,20.721205555164595,0.05
350,20.719534043845563,0.05
351,20.718058825775238,0.05
352,20.716592902278414,0.05
353,20.715532201804557,0.05
354,20.714900216724338,0.05
355,20.714552923688338,0.05
356,20.714384070541563,0.05
357,20.714191216817248,0.05
358,20.71376323902789,0.05
359,20.713068107304643,0.05
432,20.692030980954833,0.05
433,20.691077024794616,0.05
434,20.689909537968255,0.05
435,20.688935679341846,0.05
436,20.687729643536322,0.05
437,20.685761101469303,0.05
438,20.683335767152506,0.05
439,20.68093879936813,0.05
440,20.67844677733995,0.05
441,20.676132758695026,0.05
442,20.673828755591764,0.05
443,20.672096227469133,0.05
444,20.670902763259242,0.05
445,20.669975721577238,0.05
446,20.66911808056178,0.05
447,20.66837097523686,0.05
448,20.667519521204817,0.05
449,20.666559102361838,0.05
450,20.66576077327381,0.05
451,20.664964185623056,0.05
452,20.664308042848468,0.05
453,20.663881294647233,0.05
454,20.66366378803219,0.05
455,20.663604329920382,0.05
463,20.661090184178157,0.05
464,20.660892704137673,0.05
465,20.660580373866075,0.05
466,20.660037759278843,0.05
467,20.659421345677735,0.05
468,20.658872822692736,0.05
469,20.658707154056266,0.05
470,20.658706756685284,0.05
471,20.658702953697606,0.05
538,20.633932559078893,0.05
539,20.633190595804145,0.05
540,20.63266480727936,0.05
541,20.63234527607785,0.05
542,20.632145570627266,0.05
543,20.632023175208296,0.05
544,20.63195567553577,0.05
545,20.632019993459814,0.05
546,20.632040644974943,0.05
547,20.63185476451617,0.05
548,20.63131178371814,0.05
549,20.630893196240343,0.05
550,20.630748033984325,0.05
590,20.636743361636796,0.05
591,20.636941481380724,0.05
592,20.63723469200884,0.05
593,20.637595995481483,0.05
594,20.637971503572636,0.05
595,20.638421137575655,0.05
596,20.63905139990205,0.05
597,20.639714930321723,0.05
598,20.64024634103486,0.05
599,20.640766383418786,0.05
600,20.641194428187227,0.05
606,20.64299420296944,0.05
607,20.643131468951843,0.05
608,20.643277503076128,0.05
609,20.643556751763008,0.05
610,20.64385343209255,0.05
611,20.644154062801,0.05
612,20.644647237275457,0.05
613,20.645228534044442,0.05
614,20.645921374643528,0.05
615,20.64655992863191,0.05
661,20.651235665659264,0.05
662,20.651388041752078,0.05
663,20.651442027222565,0.05
664,20.651444309117487,0.05
665,20.651405837718407,0.05
666,20.651395629391338,0.05
667,20.651238776272216,0.05
668,20.651018934953477,0.05
669,20.65079644871573,0.05
670,20.650484967187232,0.05
671,20.65010677624533,0.05
672,20.649738977548004,0.05
673,20.649556091823847,0.05
674,20.64943317422817,0.05
675,20.649381090724937,0.05
676,20.64958465596431,0.05
677,20.649961903398413,0.05
678,20.650380941661744,0.05
679,20.65073934388787,0.05
699,20.645214597845175,0.05
700,20.64448769379728,0.05
701,20.64372745793421,0.05
702,20.642644616472616,0.05
703,20.64161396539901,0.05
704,20.64079540329478,0.05
705,20.639980793130427,0.05
706,20.639307352028858,0.05
707,20.638995933557446,0.05
