mjd,mag,magerr
1,20.126912765093856,0.05
6,20.12680515890279,0.05
7,20.126844123932308,0.05
8,20.12686630914211,0.05
9,20.126851154553712,0.05
10,20.126810277097967,0.05
11,20.12681470770078,0.05
12,20.126829209074707,0.05
13,20.126873579577868,0.05
14,20.126925926490934,0.05
15,20.126909247613632,0.05
16,20.126876009294485,0.05
17,20.126857694380895,0.05
18,20.126877900127916,0.05
77,20.12694397595053,0.05
78,20.126984004820947,0.05
79,20.126982092282226,0.05
80,20.126981810465715,0.05
81,20.126989047680546,0.05
82,20.127006209962083,0.05
83,20.127002131311762,0.05
84,20.12701963640678,0.05
85,20.12696655334006,0.05
107,20.126616004553078,0.05
108,20.126562779984745,0.05
109,20.126512534577493,0.05
110,20.126475821991185,0.05
111,20.126451786486406,0.05
112,20.126437620169604,0.05
113,20.126445382419824,0.05
114,20.126439434195213,0.05
125,20.126606699014765,0.05
126,20.126636443888238,0.05
127,20.126612444798745,0.05
128,20.126602962851727,0.05
129,20.126555627896984,0.05
130,20.126530216502566,0.05
131,20.126486251192226,0.05
132,20.126417039280405,0.05
133,20.126372982523115,0.05
134,20.126325890879052,0.05
135,20.12628761129239,0.05
136,20.126264639711387,0.05
137,20.126231850483258,0.05
138,20.12619560958378,0.05
139,20.126206074554865,0.05
140,20.126164403534936,0.05
141,20.126187301632392,0.05
179,20.127170595146673,0.05
180,20.127113152043357,0.05
181,20.127081195722717,0.05
182,20.127077124955314,0.05
183,20.12702529084988,0.05
184,20.127005160087315,0.05
185,20.127035362766854,0.05
186,20.127056975317053,0.05
187,20.127107044283456,0.05
188,20.127200925310667,0.05
189,20.12725172438457,0.05
190,20.127304150659832,0.05
205,20.12739598694153,0.05
206,20.127421068387896,0.05
207,20.127469989963025,0.05
208,20.127459864858743,0.05
209,20.127457013005802,0.05
210,20.127502995370854,0.05
211,20.127521328686136,0.05
212,20.12755097188971,0.05
213,20.127536535824554,0.05
214,20.127558966743585,0.05
215,20.127610097992637,0.05
295,20.12817508125226,0.05
296,20.128259417207893,0.05
297,20.128344600892625,0.05
298,20.12835874642561,0.05
299,20.12833259511877,0.05
300,20.128281439009292,0.05
301,20.12820574576113,0.05
302,20.12815639783239,0.05
303,20.128167121233012,0.05
310,20.12795308157377,0.05
311,20.127971672293178,0.05
312,20.128027502656742,0.05
313,20.12804384575862,0.05
314,20.128013100244438,0.05
315,20.128043853112096,0.05
316,20.128016183191285,0.05
324,20.128128767329777,0.05
325,20.12808765224066,0.05
326,20.128113189063676,0.05
327,20.12810592565517,0.05
328,20.12808891122487,0.05
329,20.128106621953542,0.05
330,20.128156882584754,0.05
344,20.128315471857498,0.05
345,20.128361410615618,0.05
346,20.12836556700963,0.05
347,20.128361563838872,0.05
348,20.12835378394785,0.05
349,20.128360142887622,0.05
350,20.128367531128156,0.05
351,20.12838298980609,0.05
352,20.128394802395853,0.05
353,20.128383862271555,0.05
354,20.12833112656434,0.05
438,20.127705214636087,0.05
439,20.12763503059147,0.05
440,20.127595697203212,0.05
441,20.12756665565211,0.05
442,20.12755430992258,0.05
443,20.12748335673181,0.05
444,20.12743002169858,0.05
445,20.127403234102296,0.05
446,20.12742329269951,0.05
447,20.127475450973456,0.05
448,20.12754386525034,0.05
449,20.127609510556262,0.05
450,20.12764786100505,0.05
451,20.12771190667072,0.05
452,20.127737908627758,0.05
453,20.12766180327467,0.05
454,20.127561989186823,0.05
455,20.127470558087644,0.05
456,20.12746387584665,0.05
457,20.127498870448015,0.05
467,20.127666373686928,0.05
468,20.127599465351487,0.05
469,20.127533380838166,0.05
470,20.127553564809098,0.05
471,20.127551292724796,0.05
472,20.127498537703595,0.05
473,20.127406017789987,0.05
474,20.12734933208106,0.05
475,20.12732255557402,0.05
476,20.127282930954514,0.05
598,20.127480579511293,0.05
599,20.12756018001172,0.05
600,20.12758415598457,0.05
601,20.127533068609658,0.05
602,20.127479932341366,0.05
603,20.127455823197387,0.05
604,20.127409124699447,0.05
605,20.127370529407933,0.05
606,20.127369006921803,0.05
607,20.127393485335894,0.05
608,20.127368643478697,0.05
661,20.126255896566512,0.05
662,20.126317717068083,0.05
663,20.126389690097163,0.05
664,20.126399058416787,0.05
665,20.12641857782159,0.05
666,20.12643997253813,0.05
667,20.12643790727372,0.05
668,20.12643344502529,0.05
672,20.126518632601794,0.05
673,20.126505989954218,0.05
674,20.126412386263844,0.05
675,20.12637005452661,0.05
676,20.126350388327857,0.05
677,20.126355401174486,0.05
678,20.126355288199555,0.05
679,20.126388207673223,0.05
680,20.126432953228708,0.05
681,20.12648373044359,0.05
682,20.126592768973588,0.05
683,20.126672061506092,0.05
684,20.12669791553585,0.05
685,20.126716075027936,0.05
686,20.126700961117173,0.05
687,20.126738654332307,0.05
688,20.126749141211853,0.05
689,20.12678521966017,0.05
690,20.1268330711652,0.05
691,20.12685757778869,0.05
692,20.126857647054685,0.05
703,20.126948759275614,0.05
704,20.126937351132874,0.05
705,20.126943169778222,0.05
706,20.12698488965318,0.05
707,20.12703214170923,0.05
