mjd,mag,magerr
1,21.92612045818543,0.05
32,21.988796999010326,0.05
33,21.991281421960345,0.05
34,21.993600965650522,0.05
35,21.99570950142691,0.05
36,21.997678966516908,0.05
37,21.999600233991437,0.05
38,22.001332454114582,0.05
39,22.002886383730505,0.05
40,22.004400924006397,0.05
41,22.005847726986197,0.05
42,22.007210149800095,0.05
43,22.008510939927923,0.05
44,22.00986099699758,0.05
45,22.011130248791538,0.05
46,22.012412889777117,0.05
132,21.987425042129352,0.05
133,21.986381983313244,0.05
134,21.985405115033764,0.05
135,21.984558321801323,0.05
136,21.983762382434698,0.05
137,21.98326701397894,0.05
138,21.98285099504482,0.05
139,21.98229338259862,0.05
140,21.981520379791412,0.05
141,21.98068362044699,0.05
247,21.873390921309444,0.05
248,21.874968580264657,0.05
249,21.876446476995774,0.05
250,21.87792749426888,0.05
251,21.87939578835374,0.05
252,21.880761061853285,0.05
253,21.88208009610016,0.05
280,21.90971599843872,0.05
281,21.910343323864915,0.05
282,21.910954093125106,0.05
283,21.91157148821258,0.05
284,21.912208238146228,0.05
285,21.912803124684224,0.05
286,21.91352629743863,0.05
287,21.91441483471214,0.05
288,21.915258177158613,0.05
289,21.916069359742444,0.05
290,21.916607519077637,0.05
291,21.91698300161331,0.05
292,21.916871036810768,0.05
293,21.916319120376833,0.05
318,21.86466952187552,0.05
319,21.86112910936054,0.05
320,21.85776155460335,0.05
321,21.854439585783958,0.05
322,21.85127903019221,0.05
323,21.848364592865543,0.05
324,21.84579581160761,0.05
325,21.843478040768012,0.05
326,21.84125963560819,0.05
327,21.838927821005363,0.05
328,21.836487016970175,0.05
329,21.834094010243795,0.05
330,21.83181786821867,0.05
331,21.829559926664366,0.05
332,21.82734587238908,0.05
333,21.825125972977922,0.05
334,21.822863544238707,0.05
335,21.820601833361103,0.05
336,21.818641552020246,0.05
337,21.816766705606646,0.05
338,21.81491576223774,0.05
339,21.813099415435126,0.05
340,21.81114974926384,0.05
341,21.809091312650544,0.05
342,21.807055723287085,0.05
343,21.805129037107513,0.05
372,21.737934728887858,0.05
373,21.735608236058646,0.05
374,21.733160958241008,0.05
375,21.73058349767613,0.05
376,21.728189446517625,0.05
377,21.72605365876361,0.05
378,21.72404572113502,0.05
379,21.722177260684767,0.05
380,21.720191877173697,0.05
381,21.718024941064364,0.05
382,21.71576774051251,0.05
398,21.67732798718739,0.05
399,21.67588141356763,0.05
400,21.674394272151964,0.05
401,21.672698740411896,0.05
402,21.67104971881934,0.05
403,21.669596237564512,0.05
404,21.668477153174983,0.05
405,21.66748714549471,0.05
418,21.65572907988716,0.05
419,21.654657487710132,0.05
420,21.653485818246104,0.05
421,21.65230252341123,0.05
422,21.65119433128219,0.05
423,21.650156140887894,0.05
424,21.649166428767053,0.05
425,21.648215203561016,0.05
426,21.647269087974216,0.05
427,21.64644159675172,0.05
428,21.645589489981994,0.05
429,21.644832827060064,0.05
430,21.6441639366329,0.05
431,21.643325783848347,0.05
435,21.639005464095966,0.05
436,21.637937577277278,0.05
437,21.636811430677547,0.05
438,21.63559576939678,0.05
439,21.63439633734921,0.05
440,21.63300963272686,0.05
441,21.631444305452142,0.05
442,21.629886617223413,0.05
443,21.628213177104364,0.05
444,21.626377575905856,0.05
468,21.61202781750078,0.05
469,21.612092324390495,0.05
470,21.611938717642026,0.05
471,21.611497717942434,0.05
472,21.610688030459336,0.05
473,21.609766032216278,0.05
474,21.608790459661286,0.05
475,21.607842968128573,0.05
476,21.606845307237883,0.05
477,21.60589894367164,0.05
478,21.604892515562646,0.05
479,21.603750219570877,0.05
480,21.602278501466152,0.05
481,21.600674377418578,0.05
522,21.468522359948132,0.05
523,21.465525646560444,0.05
524,21.4624887040899,0.05
525,21.45933323410484,0.05
526,21.456112007445007,0.05
527,21.45286667390578,0.05
528,21.449778937762794,0.05
529,21.44703678757579,0.05
530,21.44447194523537,0.05
531,21.441920416191714,0.05
532,21.439262585667258,0.05
533,21.436392253718246,0.05
534,21.43332508660938,0.05
535,21.430203607148336,0.05
536,21.427210747232415,0.05
537,21.4243049500893,0.05
538,21.42127444704942,0.05
539,21.41801262592704,0.05
566,21.27807453013657,0.05
567,21.27258138100256,0.05
568,21.267118698003152,0.05
569,21.26156092685475,0.05
570,21.256151306175944,0.05
571,21.250981353214563,0.05
572,21.246081508991374,0.05
573,21.241037038833888,0.05
574,21.235907290579753,0.05
575,21.230815337712038,0.05
576,21.22549993371515,0.05
577,21.219945139116597,0.05
578,21.214502930982214,0.05
579,21.2092192936614,0.05
580,21.20385049725089,0.05
581,21.198569428626705,0.05
582,21.19338474948824,0.05
583,21.18814539053856,0.05
584,21.182943550338443,0.05
585,21.177631289888716,0.05
586,21.172363914304846,0.05
587,21.167212224492552,0.05
588,21.162146618273106,0.05
600,21.124382180310768,0.05
601,21.12336023029244,0.05
602,21.12237065334363,0.05
603,21.121282485470296,0.05
604,21.120231888613596,0.05
605,21.11929314687645,0.05
606,21.118485368324478,0.05
607,21.117712603352963,0.05
608,21.11702827097583,0.05
