mjd,mag,magerr
1,21.4397943370167,0.05
12,21.429754403867484,0.05
13,21.42896165000932,0.05
14,21.42819939881651,0.05
15,21.427465809206417,0.05
16,21.42673564478985,0.05
17,21.426021127810166,0.05
18,21.425353413719996,0.05
19,21.424720573592815,0.05
20,21.424105525501083,0.05
21,21.42349767288193,0.05
22,21.422923090775946,0.05
23,21.422366803719235,0.05
24,21.421820743986167,0.05
25,21.42127545585638,0.05
50,21.405935120056476,0.05
51,21.40511956876403,0.05
52,21.404318182807522,0.05
53,21.403497618415976,0.05
54,21.402670773487536,0.05
55,21.40182219213137,0.05
56,21.400970659743457,0.05
57,21.400114160851665,0.05
58,21.3992643211674,0.05
59,21.39841689520815,0.05
60,21.397578979865536,0.05
61,21.396766151448098,0.05
62,21.39596919708128,0.05
63,21.395160369923907,0.05
98,21.370869537528044,0.05
99,21.370320320532038,0.05
100,21.369801806668114,0.05
101,21.369294726619835,0.05
102,21.368763004358236,0.05
103,21.3682064779696,0.05
104,21.367638620637756,0.05
105,21.36706115299838,0.05
146,21.347802216542,0.05
147,21.347446790900214,0.05
148,21.34711020454352,0.05
149,21.346792842459344,0.05
150,21.346500712744152,0.05
151,21.346209457168747,0.05
152,21.345906124482305,0.05
153,21.345592430677378,0.05
154,21.345292075461977,0.05
155,21.3450119159563,0.05
156,21.344732859455014,0.05
157,21.344458970185165,0.05
167,21.34121046371643,0.05
168,21.340843292740054,0.05
169,21.34045881421276,0.05
170,21.34006722178136,0.05
171,21.33970124845083,0.05
172,21.339353135749327,0.05
173,21.339003279956522,0.05
174,21.33864462577315,0.05
175,21.338301002772063,0.05
176,21.337962679716235,0.05
177,21.337629059215168,0.05
178,21.33731187872734,0.05
179,21.33698494370625,0.05
230,21.332213228924054,0.05
231,21.33264057782356,0.05
232,21.333064656414045,0.05
233,21.333487420255288,0.05
234,21.333912575087233,0.05
235,21.334352095053852,0.05
236,21.33479316249045,0.05
237,21.335225284196888,0.05
238,21.335659789482385,0.05
239,21.336084151022938,0.05
240,21.336503099242996,0.05
241,21.33694456512594,0.05
295,21.372901810678904,0.05
296,21.373678685343243,0.05
297,21.374445658442248,0.05
298,21.375193559950652,0.05
299,21.37595586433617,0.05
300,21.37672506059655,0.05
301,21.377505974562432,0.05
306,21.38145435080697,0.05
307,21.38222613063855,0.05
308,21.38301547358791,0.05
309,21.38382580053119,0.05
310,21.384656759826903,0.05
311,21.385500383294435,0.05
312,21.386353655819228,0.05
313,21.387194009973776,0.05
314,21.38800967783545,0.05
315,21.388800800009925,0.05
316,21.38957810732115,0.05
317,21.390353109268723,0.05
318,21.39113065975051,0.05
319,21.391899295514868,0.05
320,21.392679311045093,0.05
321,21.393476369038517,0.05
322,21.39429589246614,0.05
323,21.395127578121155,0.05
327,21.398401227812194,0.05
328,21.399269961156413,0.05
329,21.400146015070796,0.05
330,21.401039347229805,0.05
331,21.401947071379674,0.05
332,21.402853479226543,0.05
333,21.40374567501781,0.05
334,21.40460732606767,0.05
335,21.405443215410237,0.05
444,21.44380935397222,0.05
445,21.443776784564086,0.05
446,21.44375132494759,0.05
447,21.44372732474185,0.05
448,21.443714269636423,0.05
449,21.443714444299793,0.05
450,21.443741106093235,0.05
451,21.443788471029926,0.05
452,21.443839350831347,0.05
453,21.443890280033507,0.05
454,21.44392856014418,0.05
455,21.443932189476236,0.05
456,21.443922344536894,0.05
463,21.44382281376516,0.05
464,21.443786234709442,0.05
465,21.443738623270967,0.05
466,21.443693615865747,0.05
467,21.443648583592072,0.05
468,21.443568123460288,0.05
469,21.443470952668257,0.05
470,21.443372785325046,0.05
471,21.44329656772353,0.05
472,21.44322873234281,0.05
473,21.443166858709056,0.05
526,21.44558496526664,0.05
527,21.44556730793682,0.05
528,21.44550890705917,0.05
529,21.44544618043839,0.05
530,21.44538221309987,0.05
531,21.445317334230076,0.05
532,21.445254792977146,0.05
533,21.44519493087119,0.05
534,21.44516782112249,0.05
535,21.44517394601896,0.05
536,21.44520103155073,0.05
537,21.445247474250927,0.05
538,21.445308902088293,0.05
578,21.45191979161148,0.05
579,21.452089226303123,0.05
580,21.452240004351204,0.05
581,21.452389282885996,0.05
582,21.452529021132925,0.05
583,21.452664184515548,0.05
584,21.45278465177193,0.05
585,21.452875139587057,0.05
586,21.45292871497096,0.05
587,21.452952731984475,0.05
588,21.452938158855567,0.05
668,21.454154270075897,0.05
669,21.45412821670724,0.05
670,21.454091429214678,0.05
671,21.454059427509925,0.05
672,21.454002764231326,0.05
673,21.45391139813818,0.05
674,21.453800199148823,0.05
675,21.453662858121625,0.05
676,21.453514455921855,0.05
677,21.453397588260025,0.05
684,21.45261607757218,0.05
685,21.452549423884015,0.05
686,21.452502634918652,0.05
687,21.452449570758667,0.05
688,21.452366077857242,0.05
689,21.452249386256064,0.05
690,21.452125327405874,0.05
691,21.452015951413337,0.05
692,21.451927802196856,0.05
694,21.45173514361614,0.05
695,21.45162337611682,0.05
696,21.451500281172663,0.05
697,21.45135987634989,0.05
698,21.451246716524984,0.05
