mjd,mag,magerr
1,18.81287552260948,0.05
56,18.83506701046479,0.05
57,18.84226084345749,0.05
58,18.84982497546455,0.05
59,18.855292937582114,0.05
60,18.859153856480738,0.05
61,18.8636123012464,0.05
62,18.867253513010077,0.05
136,18.886034557714034,0.05
137,18.886917793644933,0.05
138,18.88986490000999,0.05
139,18.892314847601675,0.05
140,18.89076098897511,0.05
141,18.888593403246652,0.05
142,18.889228884088446,0.05
159,18.8815028903333,0.05
160,18.875078413320814,0.05
161,18.87184861829528,0.05
162,18.864788734260863,0.05
163,18.8579463256634,0.05
164,18.853313099299264,0.05
165,18.843672016872226,0.05
166,18.836430569781264,0.05
167,18.825167076773873,0.05
168,18.812363031812133,0.05
201,18.846614801253715,0.05
202,18.849807896076676,0.05
203,18.849446296347573,0.05
204,18.848989414360425,0.05
205,18.84980440586208,0.05
206,18.848103208057303,0.05
207,18.842250721671554,0.05
208,18.835023032838315,0.05
209,18.829841499324267,0.05
210,18.827821031499532,0.05
214,18.84092185925845,0.05
215,18.842496650427513,0.05
216,18.843250504099792,0.05
217,18.839276696170963,0.05
218,18.836583328155193,0.05
219,18.836732285962903,0.05
220,18.83563560527788,0.05
221,18.834634248207657,0.05
222,18.831599379660325,0.05
250,18.745589622636338,0.05
251,18.741257354922162,0.05
252,18.739822315697616,0.05
253,18.73829257881261,0.05
254,18.73821107069653,0.05
255,18.741998030303314,0.05
256,18.743553825848373,0.05
257,18.742364809292276,0.05
258,18.741337820315856,0.05
259,18.742005130691204,0.05
260,18.742995600824607,0.05
261,18.7404872139819,0.05
262,18.73891780740839,0.05
263,18.738320835737845,0.05
264,18.740302228500916,0.05
368,18.828968866681613,0.05
369,18.833614536619244,0.05
370,18.83713933385453,0.05
371,18.837203689735027,0.05
372,18.83413071655223,0.05
373,18.82894749947915,0.05
374,18.82773205302481,0.05
375,18.831594683051627,0.05
376,18.837489212410837,0.05
377,18.84210501697553,0.05
378,18.845954648438614,0.05
397,18.824052760982887,0.05
398,18.824536775797846,0.05
399,18.826724373441742,0.05
400,18.826849252292057,0.05
401,18.82750107276666,0.05
402,18.829441634116925,0.05
403,18.829361477114908,0.05
404,18.831348794817238,0.05
405,18.82918995745353,0.05
406,18.82580733661552,0.05
422,18.815755225096574,0.05
423,18.816699721242877,0.05
424,18.814051211247325,0.05
425,18.813574647905078,0.05
426,18.81718497781423,0.05
427,18.82049338423173,0.05
428,18.82313457101406,0.05
429,18.82368368654175,0.05
430,18.826831567042028,0.05
431,18.831751091273752,0.05
432,18.835547787992702,0.05
433,18.84081791463388,0.05
475,18.896619313780796,0.05
476,18.89176423647259,0.05
477,18.887586323799717,0.05
478,18.88453551507437,0.05
479,18.883319671356865,0.05
480,18.88308251767034,0.05
481,18.88276504035756,0.05
482,18.884961398613704,0.05
483,18.8902011686965,0.05
485,18.89665512217153,0.05
486,18.899597847489467,0.05
487,18.899601112040877,0.05
488,18.900196706159,0.05
489,18.900601646743574,0.05
490,18.903734272626316,0.05
491,18.90550310348589,0.05
492,18.907037359220844,0.05
493,18.905830380469517,0.05
494,18.899637488318284,0.05
495,18.896004301127583,0.05
496,18.895055540070878,0.05
497,18.89700379180679,0.05
498,18.901058105847305,0.05
499,18.899741211594126,0.05
519,18.87068076000123,0.05
520,18.865733238177505,0.05
521,18.862624537181738,0.05
522,18.85983233768504,0.05
523,18.859312201478254,0.05
524,18.859705282123308,0.05
525,18.85785498608096,0.05
526,18.852432504758944,0.05
527,18.851561543328735,0.05
528,18.854630518604317,0.05
529,18.85602361630354,0.05
598,18.904286743022034,0.05
599,18.904075267183366,0.05
600,18.90496894330999,0.05
601,18.90574169647551,0.05
602,18.903623947652797,0.05
603,18.90166189684974,0.05
604,18.900862570895278,0.05
605,18.899826923000056,0.05
621,18.864324442918353,0.05
622,18.857134926464276,0.05
623,18.854903033061383,0.05
624,18.853558657367877,0.05
625,18.851626933330884,0.05
626,18.84966806836713,0.05
627,18.84999055895161,0.05
628,18.850569232749145,0.05
629,18.84984629710356,0.05
630,18.84717175872401,0.05
631,18.845663096095826,0.05
632,18.846799485121203,0.05
633,18.847488743954393,0.05
634,18.84887630164814,0.05
635,18.851020362013408,0.05
636,18.854571717954094,0.05
637,18.860967171613503,0.05
638,18.868222909902762,0.05
639,18.87480329999419,0.05
640,18.87953863873478,0.05
641,18.881079957322903,0.05
701,18.709754022654373,0.05
702,18.711735303798015,0.05
703,18.71277270299668,0.05
704,18.71288730021893,0.05
705,18.715759065259896,0.05
706,18.717656648875398,0.05
707,18.720573524009374,0.05
708,18.726927580393046,0.05
709,18.733615625057332,0.05
710,18.73839796926672,0.05
711,18.743379263828423,0.05
712,18.73951342985992,0.05
713,18.73491213461461,0.05
714,18.734536369339445,0.05
715,18.735880546861075,0.05
716,18.734472860598494,0.05
717,18.73368964098345,0.05
718,18.735917590067125,0.05
719,18.740458017403377,0.05
720,18.74427139013556,0.05
721,18.746868869793666,0.05
722,18.74831533533402,0.05
723,18.745843091260888,0.05
724,18.741246577317305,0.05
