mjd,mag,magerr
1,20.494962157549715,0.05
4,20.53837530258958,0.05
5,20.555864941817056,0.05
6,20.572456571869033,0.05
7,20.5907598785165,0.05
8,20.60877508803221,0.05
9,20.623968837938612,0.05
10,20.637807305673256,0.05
11,20.647694635581864,0.05
12,20.65736950268583,0.05
13,20.669172406537818,0.05
14,20.683104070132394,0.05
15,20.69706594270621,0.05
16,20.711426733908063,0.05
30,20.375933878192193,0.05
31,20.32537844154694,0.05
32,20.27375392792191,0.05
33,20.224404296162696,0.05
34,20.179075903455903,0.05
35,20.13726644978032,0.05
36,20.101164086931938,0.05
37,20.062891677848718,0.05
38,20.02557714814204,0.05
39,19.99026910880486,0.05
40,19.956435620976713,0.05
63,20.152422659616867,0.05
64,20.15158475887015,0.05
65,20.14263684671949,0.05
66,20.13470863889159,0.05
67,20.131101693033138,0.05
68,20.129753575922727,0.05
69,20.125541921034646,0.05
70,20.111998100728776,0.05
89,19.845748662135314,0.05
90,19.81742647472425,0.05
91,19.793380281423488,0.05
92,19.772878681991635,0.05
93,19.756983454953364,0.05
94,19.74587990730044,0.05
95,19.733318774480317,0.05
96,19.718531553326947,0.05
97,19.703887079514494,0.05
116,19.33497150655223,0.05
117,19.323164125252696,0.05
118,19.315138245488022,0.05
119,19.30958745939366,0.05
120,19.30484962322489,0.05
121,19.30040550700766,0.05
122,19.299548024371823,0.05
123,19.306700972643405,0.05
124,19.320163185918965,0.05
125,19.33489076798417,0.05
126,19.35023845551826,0.05
127,19.363475064440898,0.05
128,19.374623080524508,0.05
161,19.439363484406492,0.05
162,19.444785653936925,0.05
163,19.453840236619932,0.05
164,19.465835953833768,0.05
165,19.48100630649227,0.05
166,19.5014013897051,0.05
167,19.524990133152507,0.05
168,19.55068202599376,0.05
224,19.68151304699122,0.05
225,19.677715240449523,0.05
226,19.675962687213918,0.05
227,19.6763437274544,0.05
228,19.67804231923882,0.05
229,19.677235225756483,0.05
230,19.673629238976538,0.05
242,19.53249230725651,0.05
243,19.505949868748736,0.05
244,19.474303324064074,0.05
245,19.445133714774137,0.05
246,19.424339014322648,0.05
247,19.409849586170374,0.05
248,19.394957590359503,0.05
265,19.770358571260296,0.05
266,19.799776744632446,0.05
267,19.827501999729115,0.05
268,19.854444578298462,0.05
269,19.878730986257985,0.05
270,19.899540738778008,0.05
271,19.92076348042074,0.05
272,19.945549191287476,0.05
273,19.970776770321088,0.05
274,19.99534994111624,0.05
275,20.019608307287875,0.05
276,20.042000236561115,0.05
277,20.06045882052701,0.05
278,20.070238829805128,0.05
279,20.068742762480817,0.05
280,20.0628713528991,0.05
281,20.055880505374994,0.05
283,20.035471342442683,0.05
284,20.0212736895107,0.05
285,20.00300895686747,0.05
286,19.98987408751635,0.05
287,19.978166007450646,0.05
288,19.964031883784195,0.05
289,19.95066970978069,0.05
290,19.941433399208513,0.05
333,20.263717186035827,0.05
334,20.28828420821268,0.05
335,20.315105229604022,0.05
336,20.34238428412629,0.05
337,20.36877908723384,0.05
338,20.393464409519574,0.05
339,20.412661404157568,0.05
340,20.424927309750252,0.05
341,20.43294964549063,0.05
342,20.437222514228758,0.05
343,20.43345842751578,0.05
344,20.424391540752488,0.05
345,20.41546649438464,0.05
346,20.406873091946373,0.05
347,20.39850677252,0.05
348,20.392441438046824,0.05
349,20.391280880252786,0.05
414,20.509138414672826,0.05
415,20.50532571765239,0.05
416,20.50443481742112,0.05
417,20.50489080550809,0.05
418,20.509024761887908,0.05
419,20.520376436551565,0.05
420,20.536954344707787,0.05
421,20.554505506417023,0.05
422,20.570450742807175,0.05
423,20.58815231283301,0.05
433,20.75673619626979,0.05
434,20.76638194492802,0.05
435,20.775172319454875,0.05
436,20.78516766029761,0.05
437,20.798560385461847,0.05
438,20.812119228019533,0.05
439,20.82575904840305,0.05
440,20.838871396316158,0.05
452,20.73821474636818,0.05
453,20.712145040361882,0.05
454,20.680365927622,0.05
455,20.648244254386704,0.05
456,20.62046887113933,0.05
457,20.60314609259894,0.05
458,20.588793045907714,0.05
459,20.574472199298235,0.05
460,20.5568446238425,0.05
461,20.541155783104195,0.05
462,20.52193079465132,0.05
463,20.49744198269773,0.05
464,20.473121283250485,0.05
465,20.44718168074541,0.05
466,20.415001128015867,0.05
467,20.376604115900015,0.05
468,20.33867712518711,0.05
469,20.298991515800687,0.05
470,20.256461770655115,0.05
489,19.869621231735344,0.05
490,19.8698499138088,0.05
491,19.87581821072809,0.05
492,19.884533782413847,0.05
493,19.89445260959311,0.05
494,19.9056074670441,0.05
495,19.918374782626437,0.05
496,19.92965378645274,0.05
557,19.402276583571528,0.05
558,19.403318474780143,0.05
559,19.40417019696759,0.05
560,19.40646259110772,0.05
561,19.40942783145831,0.05
562,19.41393344818585,0.05
563,19.41644275465945,0.05
564,19.41689176911901,0.05
565,19.414102866813586,0.05
566,19.41143560693765,0.05
567,19.411199026120563,0.05
568,19.412323672641826,0.05
569,19.415839080547222,0.05
647,20.226135672836328,0.05
648,20.23497776125965,0.05
649,20.24528208286079,0.05
