mjd,mag,magerr
1,21.47578489651449,0.05
11,21.475859040508404,0.05
12,21.47586079184827,0.05
13,21.47586175830191,0.05
14,21.475861315608263,0.05
15,21.475860763660172,0.05
16,21.47586071204379,0.05
17,21.4758596104491,0.05
18,21.475857309122595,0.05
19,21.47585344497471,0.05
20,21.4758482508171,0.05
21,21.475842158784822,0.05
22,21.475835653582045,0.05
23,21.47582883316955,0.05
24,21.475824312183015,0.05
25,21.475820582190075,0.05
26,21.47581606465419,0.05
27,21.475808809950685,0.05
28,21.475799422287814,0.05
29,21.475789952716177,0.05
30,21.47577996492779,0.05
31,21.475770318498313,0.05
32,21.47576274162136,0.05
33,21.47575746545146,0.05
34,21.475754266944755,0.05
35,21.475753170377992,0.05
36,21.475755352123763,0.05
37,21.475760336664187,0.05
38,21.475768202924876,0.05
39,21.475778598897897,0.05
40,21.475790804887303,0.05
41,21.47580292715515,0.05
42,21.475813566672038,0.05
43,21.475822610004563,0.05
44,21.47583268626027,0.05
45,21.475842885514204,0.05
46,21.475852224661857,0.05
47,21.47586137522469,0.05
48,21.475869388763208,0.05
49,21.475874260466007,0.05
50,21.475877400891044,0.05
63,21.475856999021325,0.05
64,21.475856828794527,0.05
65,21.475857259540966,0.05
66,21.475858076216248,0.05
67,21.475857537174853,0.05
68,21.47585552123916,0.05
69,21.4758513319913,0.05
70,21.475844642353145,0.05
115,21.475747703477616,0.05
116,21.475761963842608,0.05
117,21.475775167614707,0.05
118,21.47578423361292,0.05
119,21.475791313498753,0.05
120,21.475796161068153,0.05
121,21.47579912119759,0.05
122,21.475800179125322,0.05
226,21.475498783151302,0.05
227,21.47550498195975,0.05
228,21.475509882631705,0.05
229,21.47551512816711,0.05
230,21.475521012204275,0.05
231,21.475529054973883,0.05
232,21.47553892628695,0.05
233,21.47555047057805,0.05
234,21.4755637984126,0.05
235,21.475578086056878,0.05
236,21.475593179179874,0.05
237,21.475607282207484,0.05
238,21.475621451622978,0.05
239,21.475636684642062,0.05
240,21.47565475050842,0.05
241,21.475674741153988,0.05
242,21.47569444268388,0.05
243,21.47571298774843,0.05
244,21.475731778640217,0.05
329,21.47671452011283,0.05
330,21.476720312696422,0.05
331,21.476728343630974,0.05
332,21.476734638200675,0.05
333,21.47673751851074,0.05
334,21.476737171847425,0.05
335,21.476733823548123,0.05
336,21.476729592841316,0.05
337,21.476725832697248,0.05
403,21.47674323834955,0.05
404,21.476737408832683,0.05
405,21.4767303072447,0.05
406,21.476722583460123,0.05
407,21.47671579847384,0.05
408,21.47670874619623,0.05
409,21.47670285482686,0.05
410,21.476696350513073,0.05
411,21.476690546296688,0.05
412,21.47668508601648,0.05
413,21.476677730787593,0.05
414,21.476668084562313,0.05
439,21.47649401645085,0.05
440,21.476478809146975,0.05
441,21.476462252877745,0.05
442,21.476447716356624,0.05
443,21.476432921452535,0.05
444,21.47641680630688,0.05
445,21.47640144520819,0.05
446,21.476387527638813,0.05
468,21.47622368041261,0.05
469,21.47623006187481,0.05
470,21.476236117754787,0.05
471,21.47624326776151,0.05
472,21.47625170877189,0.05
473,21.476262307991554,0.05
474,21.47627502615004,0.05
475,21.476288627664438,0.05
511,21.47702204790223,0.05
512,21.477038795898004,0.05
513,21.477054257375762,0.05
514,21.477067274965997,0.05
515,21.477079679964525,0.05
516,21.47709153130223,0.05
517,21.4771042071794,0.05
518,21.47711662763853,0.05
519,21.47712692499251,0.05
523,21.477163524974266,0.05
524,21.477174079691416,0.05
525,21.477186135079172,0.05
526,21.477201313338277,0.05
527,21.4772176308364,0.05
528,21.47723362425139,0.05
529,21.477248315963088,0.05
530,21.477260651519195,0.05
531,21.477270745089534,0.05
532,21.477280026790076,0.05
533,21.47728896638626,0.05
569,21.477545883066377,0.05
570,21.47755616669962,0.05
571,21.47756424670859,0.05
572,21.47757015630136,0.05
573,21.477574850711783,0.05
574,21.47757826537015,0.05
575,21.47758210580937,0.05
576,21.477587454293875,0.05
577,21.47759358812231,0.05
578,21.477601576419296,0.05
579,21.477608805318404,0.05
580,21.477614126506417,0.05
594,21.477648738496946,0.05
595,21.47764879558695,0.05
596,21.477646832745414,0.05
597,21.4776435650977,0.05
598,21.47763796527496,0.05
599,21.47762821378985,0.05
600,21.477617004744154,0.05
601,21.477606424375246,0.05
602,21.477596011738846,0.05
609,21.477555969027158,0.05
610,21.477554546167987,0.05
611,21.477550118909086,0.05
612,21.47754303951968,0.05
613,21.477535053067207,0.05
614,21.477527372100845,0.05
615,21.47752005115128,0.05
616,21.477512951498376,0.05
617,21.477504820309612,0.05
618,21.477492904281682,0.05
619,21.477477410702015,0.05
620,21.477461385055086,0.05
646,21.477396753342866,0.05
647,21.477398745777002,0.05
648,21.47739916147662,0.05
649,21.47740030005641,0.05
650,21.477401262986028,0.05
651,21.477400626186913,0.05
652,21.47739797583926,0.05
653,21.477396195680264,0.05
654,21.477395896408375,0.05
655,21.477396625327096,0.05
656,21.47739967961794,0.05
657,21.4774043653127,0.05
658,21.477407788256762,0.05
661,21.477417263138086,0.05
