mjd,mag,magerr
1,23.340033795582436,0.05
16,23.33950701692539,0.05
17,23.339527962589578,0.05
18,23.339535512322676,0.05
19,23.3395179325752,0.05
20,23.33947263630821,0.05
21,23.339375050892563,0.05
22,23.339277181078323,0.05
25,23.339199114348396,0.05
26,23.339223775945804,0.05
27,23.339266150961542,0.05
28,23.33925461860928,0.05
29,23.339215578277553,0.05
30,23.33916437436529,0.05
31,23.339124846057352,0.05
32,23.33912712550285,0.05
33,23.339134907573445,0.05
34,23.339100653558297,0.05
59,23.33969391563216,0.05
60,23.339750049778523,0.05
61,23.339794764851753,0.05
62,23.339867869036162,0.05
63,23.339991248791257,0.05
64,23.340120730804962,0.05
65,23.340246913477237,0.05
66,23.340330499335927,0.05
67,23.340378729315255,0.05
68,23.340422362783094,0.05
92,23.33973138082134,0.05
93,23.33968645496285,0.05
94,23.339694944532447,0.05
95,23.339745635745963,0.05
96,23.339809700369905,0.05
97,23.33985071095342,0.05
98,23.339901341156555,0.05
99,23.33996673130465,0.05
100,23.34005828495814,0.05
101,23.340149996621214,0.05
102,23.340225280837224,0.05
103,23.340291249856442,0.05
104,23.340309421101004,0.05
152,23.341799413763816,0.05
153,23.34180445584446,0.05
154,23.341791917589838,0.05
155,23.341784468808676,0.05
156,23.341781980211117,0.05
157,23.34179362117137,0.05
158,23.34179386399442,0.05
159,23.341801839852543,0.05
203,23.34289367374658,0.05
204,23.342920894326248,0.05
205,23.34293170314995,0.05
206,23.34294889731681,0.05
207,23.342981164647732,0.05
208,23.34299961161144,0.05
209,23.343032153912596,0.05
210,23.343068858494924,0.05
211,23.343099244819108,0.05
212,23.343114984714866,0.05
213,23.343124740736137,0.05
214,23.34315393258,0.05
215,23.34322929033423,0.05
229,23.345028780097742,0.05
230,23.345238663964814,0.05
231,23.34546868848809,0.05
232,23.3456808020888,0.05
233,23.34584993639067,0.05
234,23.345977813980802,0.05
235,23.346066082826162,0.05
236,23.346118871042286,0.05
237,23.346184913613705,0.05
238,23.34625710986939,0.05
239,23.346352083141646,0.05
240,23.346439244885552,0.05
241,23.34652925243764,0.05
287,23.34702008755658,0.05
288,23.346938681355304,0.05
289,23.34686633725743,0.05
290,23.346821918154752,0.05
291,23.346803700674364,0.05
292,23.34680276095947,0.05
293,23.346785478803874,0.05
349,23.346186739376982,0.05
350,23.346117749057704,0.05
351,23.346031960382142,0.05
352,23.345948231681042,0.05
353,23.345859285618026,0.05
354,23.345782481511726,0.05
355,23.345724723495316,0.05
356,23.34568792347948,0.05
357,23.34564570606144,0.05
358,23.345588059415384,0.05
359,23.34553292818874,0.05
360,23.345455282450295,0.05
361,23.34536287076643,0.05
362,23.34524966145272,0.05
363,23.345126263686858,0.05
364,23.345010880234618,0.05
365,23.344876026520915,0.05
366,23.34476814683476,0.05
413,23.34281110178221,0.05
414,23.34284204079062,0.05
415,23.342880981069207,0.05
416,23.342910098339765,0.05
417,23.34291274613016,0.05
418,23.342931406870967,0.05
419,23.34294606368642,0.05
420,23.342968598562813,0.05
421,23.343027783886832,0.05
422,23.34307964005273,0.05
423,23.343079299275736,0.05
424,23.343038160325243,0.05
425,23.343008052935183,0.05
438,23.342852050155024,0.05
439,23.342892943553018,0.05
440,23.342917143254603,0.05
441,23.342926893671397,0.05
442,23.342919546563458,0.05
443,23.34287862066575,0.05
444,23.342833336724688,0.05
445,23.342787364598074,0.05
446,23.34273773062484,0.05
447,23.342663706106727,0.05
448,23.342582250549604,0.05
449,23.342501241261793,0.05
450,23.34243466490816,0.05
560,23.339456964848303,0.05
561,23.33947419266196,0.05
562,23.339464782531827,0.05
563,23.33946473853174,0.05
564,23.339509972739954,0.05
565,23.339593082815718,0.05
566,23.339687944760932,0.05
567,23.339755823282992,0.05
568,23.339841720574533,0.05
569,23.339915454733436,0.05
570,23.339995643107677,0.05
571,23.340078256610774,0.05
572,23.340178692434684,0.05
573,23.34030749703627,0.05
600,23.342924966922816,0.05
601,23.342999180194504,0.05
602,23.34306068359262,0.05
603,23.343141751452684,0.05
604,23.34322700256515,0.05
605,23.34330260556998,0.05
606,23.343363829149474,0.05
607,23.34339732560897,0.05
608,23.343414706932556,0.05
609,23.34343382066978,0.05
610,23.34341620564897,0.05
647,23.34059857251942,0.05
648,23.34060368397244,0.05
649,23.34062763730011,0.05
650,23.340667365858515,0.05
651,23.340707187190056,0.05
652,23.340715543181155,0.05
653,23.34068081079922,0.05
654,23.340611854422214,0.05
655,23.340490902481825,0.05
656,23.340331932797447,0.05
657,23.340141071194203,0.05
658,23.339925292097284,0.05
659,23.339732190607855,0.05
660,23.339540079691766,0.05
661,23.33939395305662,0.05
662,23.3392855143367,0.05
663,23.339181258414975,0.05
664,23.339089732678907,0.05
665,23.339002757185746,0.05
689,23.33778882613729,0.05
690,23.337590941447836,0.05
691,23.337459061333014,0.05
692,23.337390865528654,0.05
693,23.337388926576217,0.05
694,23.337423345600392,0.05
695,23.33744151155235,0.05
696,23.337434754115314,0.05
697,23.337403474511042,0.05
698,23.337369061263807,0.05
